,1330_open,1330_high,1330_low,1330_close,1330_volume,6702_open,6702_high,6702_low,6702_close,6702_volume,USD,EUR,1y,5y,9y,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume
2011-03-03,10690,10750,10680,10740,460.52,540.0,546.0,536.0,537.0,11156,81.85,113.45,0.176,0.555,1.165,12226.490234,12261.379883,12054.990234,12058.019531,183240000
2011-03-04,10900,10930,10820,10850,424.18,546.0,546.0,540.0,541.0,8404,82.37,114.93,0.177,0.57,1.179,12057.339844,12115.120117,12018.629883,12066.799805,147270000
2011-03-07,10790,10790,10620,10680,360.79,538.0,538.0,529.0,533.0,8051,82.39,115.16,0.171,0.5479999999999999,1.153,12258.879883,12271.370117,12079.509766,12169.879883,166700000
2011-03-08,10680,10720,10660,10690,250.15,526.0,531.0,518.0,523.0,13033,82.27,114.9,0.171,0.562,1.172,12258.879883,12271.370117,12079.509766,12169.879883,166700000
2011-03-09,10760,10820,10720,10750,445.49,523.0,538.0,521.0,535.0,14751,82.91,115.11,0.171,0.5820000000000001,1.182,12171.089844,12243.44043,12041.599609,12090.030273,176200000
2011-03-10,10700,10710,10570,10590,520.56,527.0,540.0,522.0,525.0,13988,82.83,115.24,0.171,0.593,1.183,12085.870117,12251.200195,12072.209961,12214.379883,158610000
2011-03-11,10500,10550,10390,10420,487.62,515.0,518.0,504.0,504.0,20619,82.94,114.56,0.171,0.539,1.125,12211.160156,12257.820313,12156.599609,12213.089844,128360000
2011-03-14,9820,9980,9740,9780,1031.37,462.0,478.0,460.0,472.0,19374,82.11,114.35,0.141,0.47600000000000003,1.077,11976.959961,12087.009766,11936.320313,12044.400391,143670000
2011-03-15,9590,9590,8280,8790,1160.06,452.0,452.0,392.0,428.0,32925,81.87,114.48,0.18,0.496,1.073,11976.959961,12087.009766,11936.320313,12044.400391,143670000
2011-03-16,9060,9290,8950,9220,646.67,437.0,449.0,425.0,444.0,32509,81.1,113.27,0.189,0.512,1.087,12042.129883,12042.129883,11897.30957,11993.160156,163000000
2011-03-17,8780,9230,8760,9110,604.05,420.0,436.0,411.0,425.0,18406,79.34,110.29,0.179,0.503,1.0759999999999998,11988.69043,11988.69043,11696.25,11855.419922,221930000
2011-03-18,9230,9410,9230,9340,364.1,433.0,452.0,432.0,451.0,15099,81.38,113.98,0.169,0.483,1.079,11854.200195,11856.700195,11555.480469,11613.299805,254070000
2011-03-22,9690,9760,9600,9760,486.73,479.0,527.0,479.0,501.0,32111,81.04,115.25,0.169,0.503,1.1179999999999999,11777.230469,11927.089844,11777.230469,11858.519531,355050000
2011-03-23,9700,9720,9530,9590,389.33,483.0,485.0,463.0,468.0,25205,81.06,114.81,0.169,0.48700000000000004,1.09,11860.110352,12078.299805,11860.110352,12036.530273,143390000
2011-03-24,9620,9650,9550,9570,184.33,462.0,468.0,454.0,460.0,16843,80.98,114.22,0.16,0.479,1.081,12036.370117,12050.980469,12002.849609,12018.629883,115660000
2011-03-25,9720,9720,9600,9660,254.07,473.0,473.0,463.0,472.0,13761,81.03,114.87,0.149,0.469,1.091,12018.400391,12116.139648,11972.610352,12086.019531,133940000
2011-03-28,9680,9690,9550,9590,166.46,480.0,480.0,463.0,467.0,10153,81.59,114.55,0.15,0.48,1.111,12170.709961,12259.790039,12170.709961,12220.589844,129790000
2011-03-29,9540,9720,9530,9670,613.05,467.0,469.0,454.0,456.0,20795,81.66,115.03,0.15,0.48,1.0979999999999999,12170.709961,12259.790039,12170.709961,12220.589844,129790000
2011-03-30,9730,9940,9700,9920,931.2,458.0,472.0,452.0,470.0,16560,82.48,116.31,0.149,0.491,1.112,12221.19043,12272.919922,12197.879883,12197.879883,123070000
2011-03-31,9970,9990,9880,9960,555.08,472.0,473.0,462.0,470.0,11062,83.15,117.53,0.149,0.495,1.112,12194.480469,12285.410156,12173.509766,12279.009766,129030000
2011-04-01,9960,10050,9920,9950,647.51,469.0,473.0,466.0,467.0,7361,83.48,118.26,0.149,0.51,1.141,12280.070313,12383.459961,12280.070313,12350.610352,140340000
2011-04-04,10010,10040,9950,9950,213.4,475.0,479.0,471.0,472.0,10040,84.13,119.78,0.15,0.509,1.1520000000000001,12321.019531,12419.709961,12321.019531,12376.719727,147600000
2011-04-05,9950,9950,9790,9850,598.35,470.0,470.0,460.0,462.0,8277,84.33,119.84,0.15,0.513,1.139,12321.019531,12419.709961,12321.019531,12376.719727,147600000
2011-04-06,9890,9900,9780,9820,374.03,467.0,470.0,460.0,461.0,8065,85.18,121.3,0.15,0.528,1.162,12374.599609,12407.410156,12369.150391,12400.030273,114660000
2011-04-07,9880,9910,9810,9820,502.53,466.0,474.0,460.0,462.0,8707,85.47,122.34,0.15,0.547,1.186,12402.080078,12438.139648,12353.339844,12393.900391,142340000
2011-04-08,9760,10030,9760,10000,1163.56,463.0,472.0,458.0,470.0,11327,85.17,121.88,0.15,0.5539999999999999,1.2009999999999998,12386.660156,12450.929688,12386.660156,12426.75,182350000
2011-04-11,9960,10000,9930,9940,374.09,467.0,476.0,465.0,471.0,7921,85.0,122.81,0.15,0.55,1.206,12409.870117,12450.360352,12320.719727,12380.049805,122820000
2011-04-12,9830,9830,9740,9790,342.79,460.0,461.0,448.0,451.0,12961,84.31,121.52,0.15,0.5579999999999999,1.213,12409.870117,12450.360352,12320.719727,12380.049805,122820000
2011-04-13,9750,9880,9750,9870,255.16,449.0,454.0,445.0,448.0,11634,84.01,121.6,0.15,0.555,1.199,12380.429688,12444.0,12352.879883,12381.110352,109950000
2011-04-14,9810,9910,9780,9870,249.81,448.0,453.0,446.0,449.0,11461,83.73,120.76,0.15,0.535,1.173,12381.19043,12381.19043,12233.0,12263.580078,137260000
2011-04-15,9870,9870,9810,9820,273.23,445.0,452.0,445.0,447.0,9386,83.69,121.26,0.15,0.535,1.163,12263.650391,12335.099609,12224.450195,12270.990234,118950000
2011-04-18,9820,9830,9770,9790,195.24,448.0,449.0,440.0,440.0,10041,83.17,119.59,0.149,0.526,1.13,12285.450195,12369.269531,12272.580078,12341.830078,234710000
2011-04-19,9660,9710,9630,9670,497.03,433.0,434.0,426.0,430.0,9473,82.69,117.72,0.149,0.505,1.1159999999999999,12285.450195,12369.269531,12272.580078,12341.830078,234710000
2011-04-20,9750,9860,9740,9840,861.53,433.0,440.0,430.0,437.0,12140,82.8,119.01,0.149,0.505,1.11,12339.709961,12339.790039,12093.889648,12201.589844,190220000
2011-04-21,9910,9960,9870,9920,916.24,449.0,456.0,447.0,456.0,14705,82.33,119.89,0.149,0.506,1.111,12201.44043,12275.339844,12200.299805,12266.75,149870000
2011-04-22,9850,9960,9840,9920,139.48,455.0,463.0,453.0,457.0,16743,81.83,119.16,0.149,0.49700000000000005,1.0959999999999999,12266.75,12475.530273,12263.580078,12453.540039,203900000
2011-04-25,9940,9970,9890,9890,107.35,457.0,463.0,457.0,458.0,9831,82.21,119.93,0.16,0.508,1.107,12453.620117,12506.05957,12447.55957,12505.990234,166630000
2011-04-26,9860,9860,9770,9800,167.84,455.0,455.0,449.0,451.0,7409,81.76,118.52,0.16,0.494,1.093,12453.620117,12506.05957,12447.55957,12505.990234,166630000
2011-04-27,9870,9950,9860,9920,167.16,459.0,460.0,455.0,457.0,6351,81.52,119.63,0.16,0.489,1.09,12505.990234,12506.219727,12446.049805,12479.879883,128660000
2011-04-28,9960,10080,9940,10080,268.67,456.0,461.0,449.0,461.0,16413,82.08,121.75,0.16,0.479,1.077,12480.860352,12613.160156,12478.139648,12595.370117,183980000
2011-05-02,10200,10260,10170,10250,290.48,460.0,462.0,451.0,452.0,13773,81.19,120.43,0.16,0.47,1.078,12763.459961,12832.830078,12751.129883,12810.540039,378620000
2011-05-06,10020,10110,10010,10090,144.33,450.0,456.0,449.0,454.0,18040,80.45,117.16,0.15,0.431,1.0170000000000001,12806.290039,12806.679688,12673.019531,12723.580078,193720000
2011-05-09,10120,10130,10010,10020,96.47,458.0,458.0,453.0,456.0,10297,80.71,116.05,0.15,0.44299999999999995,1.025,12580.759766,12759.230469,12579.929688,12638.740234,168320000
2011-05-10,10040,10080,9980,10060,121.54,456.0,459.0,453.0,453.0,9916,80.33,115.08,0.15,0.436,1.015,12580.759766,12759.230469,12579.929688,12638.740234,168320000
2011-05-11,10150,10160,10080,10080,145.72,455.0,456.0,445.0,448.0,10374,80.96,116.56,0.15,0.43200000000000005,1.011,12637.830078,12722.070313,12620.200195,12684.679688,133940000
2011-05-12,10000,10070,9950,9960,152.17,449.0,449.0,442.0,442.0,5261,81.14,115.41,0.151,0.436,1.012,12685.129883,12781.05957,12681.650391,12760.360352,156000000
2011-05-13,9980,9990,9790,9890,485.73,442.0,445.0,433.0,435.0,8407,81.03,115.18,0.151,0.434,1.002,12745.870117,12748.209961,12577.209961,12630.030273,200680000
2011-05-16,9820,9840,9780,9790,212.0,434.0,436.0,427.0,427.0,7344,80.91,113.86,0.159,0.447,1.018,12695.650391,12714.5,12543.19043,12595.75,169940000
2011-05-17,9750,9830,9740,9820,164.22,429.0,432.0,426.0,431.0,7297,81.01,114.67,0.159,0.45399999999999996,1.033,12695.650391,12714.5,12543.19043,12595.75,169940000
2011-05-18,9850,9920,9810,9900,107.25,429.0,439.0,425.0,437.0,9437,81.41,115.99,0.159,0.455,1.031,12594.769531,12642.900391,12530.80957,12548.370117,192310000
2011-05-19,9930,9960,9830,9850,351.24,434.0,435.0,425.0,425.0,8751,81.68,116.66,0.159,0.46399999999999997,1.033,12541.330078,12541.330078,12378.839844,12479.580078,192830000
2011-05-20,9850,9900,9830,9850,108.76,426.0,428.0,421.0,421.0,9612,81.78,116.93,0.159,0.44299999999999995,1.01,12471.780273,12571.150391,12443.099609,12560.179688,175120000
2011-05-23,9770,9770,9660,9690,301.46,420.0,420.0,406.0,407.0,12811,81.86,115.59,0.159,0.441,1.011,12604.719727,12604.830078,12485.860352,12512.040039,174980000
2011-05-24,9650,9720,9630,9710,185.03,405.0,412.0,401.0,408.0,8891,81.95,115.0,0.159,0.434,1.0070000000000001,12604.719727,12604.830078,12485.860352,12512.040039,174980000
2011-05-25,9720,9730,9640,9640,284.87,408.0,411.0,404.0,404.0,6609,82.13,115.56,0.16,0.43,1.003,12511.360352,12511.360352,12331.769531,12381.259766,150720000
2011-05-26,9730,9800,9710,9780,504.98,403.0,406.0,399.0,405.0,20438,82.05,115.93,0.16,0.45,1.0270000000000001,12381.570313,12422.549805,12350.040039,12356.209961,145920000
2011-05-27,9760,9820,9720,9760,116.74,408.0,420.0,408.0,417.0,25626,81.23,114.92,0.16,0.426,1.003,12355.450195,12440.030273,12309.519531,12394.660156,145750000
